,COD ID,RMSD,Original Energy,Minimized Energy (OpenMM)
0,7206161,[1.0593451],-5926.951819960996 kJ/mol,-8786.130356818372 kJ/mol
1,2201001,[0.0684389],4681.372224907165 kJ/mol,1942.9305430034374 kJ/mol
2,4037896,[1.3477323],2229.1620666558556 kJ/mol,-2064.456422124593 kJ/mol
3,4339655,[0.01826014],-15378.123612513518 kJ/mol,-19435.83873207438 kJ/mol
4,4037918,[1.031014],-2806.804671032305 kJ/mol,-5855.863808576096 kJ/mol
5,4500369,[1.2996274],11712.243983587094 kJ/mol,10421.645059779372 kJ/mol
6,2243066,[1.2197211],19772.306342421012 kJ/mol,15347.591601086166 kJ/mol
7,2105585,[0.02521732],3623.1079138189143 kJ/mol,-996.9972392669042 kJ/mol
8,2211928,[0.7356539],-53030.42424893005 kJ/mol,-56289.48106446528 kJ/mol
9,1100249,[0.01455989],23781.19404615474 kJ/mol,15610.037628188074 kJ/mol
10,7118053,[1.2823572],13680.872697527582 kJ/mol,11240.914385616652 kJ/mol
11,2015769,[0.5652963],3975.261830702111 kJ/mol,2255.8751122661074 kJ/mol
12,1504357,[1.3306549],15508.921489578353 kJ/mol,14124.16189651619 kJ/mol
13,2231307,[0.7569056],-40924.323004303486 kJ/mol,-48629.144589177755 kJ/mol
14,1511801,[0.01404583],9202.451968673295 kJ/mol,11620.25507710926 kJ/mol
15,2225118,[1.0676963],24199.821885497775 kJ/mol,20975.492119861134 kJ/mol
16,7213183,[0.01653868],1266.69077306309 kJ/mol,-3536.329650037662 kJ/mol
17,2206542,[0.8540653],4602.648947994638 kJ/mol,3550.9550009479917 kJ/mol
18,7154682,[0.01953125],-1497.7277206538165 kJ/mol,-4847.996645724072 kJ/mol
19,2105612,[0.02114663],-37833.13187522192 kJ/mol,-42637.97317803418 kJ/mol
20,2012828,[0.91459954],-49438.579139347225 kJ/mol,-51322.549286378875 kJ/mol
21,7206934,[0.01498999],-11725.416740494107 kJ/mol,-14286.594712159007 kJ/mol
22,7210454,[0.71362936],-5069.701054866577 kJ/mol,-12730.291366042138 kJ/mol
23,4034456,[1.0493578],-21784.975473948398 kJ/mol,-26039.03812593683 kJ/mol
24,7219429,[0.4495455],-226.13950265137464 kJ/mol,-24820.017251718204 kJ/mol
25,2237654,[0.6501777],56619.296870416416 kJ/mol,47617.181738349085 kJ/mol
26,2200184,[0.6489515],2480.468980290654 kJ/mol,-263.4148341464297 kJ/mol
27,2208843,[0.04156237],8189.151229331355 kJ/mol,3696.871032645119 kJ/mol
28,4508226,[1.0401645],-6423.908099957934 kJ/mol,-9550.275285697484 kJ/mol
29,1519873,[0.78838843],1002.0703614079466 kJ/mol,230.26267449598708 kJ/mol
30,2204844,[1.1950474],-11563.189499767816 kJ/mol,-14314.020095094798 kJ/mol
31,7214681,[0.80619663],5686.021484470276 kJ/mol,1098.8040013206173 kJ/mol
32,7200790,[0.02196884],-14721.693534751012 kJ/mol,-20195.719368356644 kJ/mol
33,2205643,[0.01491615],-53588.485003118054 kJ/mol,-55742.639099286134 kJ/mol
34,2210911,[1.1282634],-15957.333069952163 kJ/mol,-17227.15939526411 kJ/mol
35,8100793,[0.6061666],-44725.10617272285 kJ/mol,-46358.33993801892 kJ/mol
36,2104971,[1.0708746],3817.9364639682453 kJ/mol,221.41524585775733 kJ/mol
37,7052848,[0.7916165],10157.849529384703 kJ/mol,6836.164442098608 kJ/mol
38,4027137,[0.02106875],-169.575420329993 kJ/mol,-3688.5771936356277 kJ/mol
39,2212078,[0.6744377],-27510.39815652328 kJ/mol,-30041.089657073466 kJ/mol
40,2209888,[0.72721213],1856.9027879683576 kJ/mol,864.9872818485446 kJ/mol
41,2231730,[0.03661665],-55158.46577993284 kJ/mol,-59032.38170196649 kJ/mol
42,7206516,[1.1478624],-9249.464959035311 kJ/mol,-12721.511554537426 kJ/mol
43,1511816,[1.2204267],-122127.4548357673 kJ/mol,-126060.9446223053 kJ/mol
44,1519191,[1.0160395],-91430.99679708682 kJ/mol,-95647.19498790563 kJ/mol
45,1504777,[0.67440814],18972.80888410376 kJ/mol,16518.92921000383 kJ/mol
46,7220218,[0.95270354],22972.10848873166 kJ/mol,20464.104563146197 kJ/mol
47,4020664,[1.4507896],-7328.315187662351 kJ/mol,-9248.361740448816 kJ/mol
48,7219800,[0.6605803],5421.300915994557 kJ/mol,3998.2884057860483 kJ/mol
49,4116140,[1.1910818],-75045.03904982311 kJ/mol,-77906.54579576345 kJ/mol
50,2004431,[1.3658518],-2073.2968790337127 kJ/mol,-5107.473510520518 kJ/mol
51,2212364,[0.7263298],-87499.07219423624 kJ/mol,-94475.223541695 kJ/mol
52,2206832,[1.4230065],-10039.077453531954 kJ/mol,-12408.38084286828 kJ/mol
53,7100390,[1.1098413],-21029.767537200456 kJ/mol,-23758.32848977113 kJ/mol
54,1519794,[0.62293667],-30372.578462183323 kJ/mol,-33140.82820165152 kJ/mol
55,2202092,[1.2813793],9967.282417919958 kJ/mol,8155.267499195159 kJ/mol
56,2100147,[0.91349185],-13328.336982423416 kJ/mol,-14993.777907504413 kJ/mol
57,2218498,[0.46604943],18433.12375029457 kJ/mol,13364.695732005886 kJ/mol
58,2217204,[0.771108],-6430.925430266496 kJ/mol,-8545.75617036846 kJ/mol
59,2215272,[0.38128784],-41276.24284953996 kJ/mol,-43729.26178023316 kJ/mol
60,2200633,[0.81214166],3874.3191674160444 kJ/mol,231.1069294092449 kJ/mol
61,2238806,[0.7924483],12903.633400021774 kJ/mol,10819.968504807694 kJ/mol
62,4507100,[1.0895983],-15653.280457128552 kJ/mol,-19774.396078961658 kJ/mol
63,4515127,[0.6828587],10190.090689021867 kJ/mol,6761.653170568897 kJ/mol
64,2103490,[0.01547166],51834.89557549516 kJ/mol,48739.35901734175 kJ/mol
65,2004882,[0.85182625],-78801.10833556503 kJ/mol,-82511.29870176183 kJ/mol
66,1519868,[0.02081962],7037.722157133507 kJ/mol,3234.1584320476177 kJ/mol
67,2237525,[0.51751876],2242.5433762592265 kJ/mol,-156.83019739003157 kJ/mol
68,1513282,[0.7386141],-9836.277147190425 kJ/mol,-11230.003160527936 kJ/mol
69,2242758,[0.66108143],-24948.080725155174 kJ/mol,-28573.46368138735 kJ/mol
70,2012267,[0.96757996],-35007.70699023927 kJ/mol,-36566.246081677775 kJ/mol
71,1548052,[1.1179456],-11484.702807003745 kJ/mol,-12377.361112174618 kJ/mol
72,7045653,[0.6268579],45461.01332428799 kJ/mol,42589.249053421336 kJ/mol
73,7151616,[0.00984775],-21541.93986870774 kJ/mol,-24382.382931682172 kJ/mol
74,7206297,[0.02887794],-7429.904675233393 kJ/mol,-12711.296783520369 kJ/mol
75,2236470,[0.8482955],1994.8432371764466 kJ/mol,400.992344396127 kJ/mol
76,2242302,[0.5001414],-16066.821238429344 kJ/mol,-17713.567918612433 kJ/mol
77,2007155,[0.8986936],9993.635432171986 kJ/mol,7594.246806300127 kJ/mol
78,4107711,[1.2518947],24574.768600611715 kJ/mol,22210.063468786037 kJ/mol
79,7054714,[1.1805208],-15231.742816054133 kJ/mol,-16233.319056410255 kJ/mol
80,4114396,[0.01415922],-8541.911018193976 kJ/mol,-11049.639899665171 kJ/mol
81,7221763,[1.3402692],-17207.528859570604 kJ/mol,-18196.814997740243 kJ/mol
82,2208497,[0.48268846],-26319.836023933392 kJ/mol,-29328.944164489083 kJ/mol
83,7052010,[0.7206464],-113324.4233653706 kJ/mol,-117354.46584713052 kJ/mol
84,2200608,[0.02469385],23542.6153026543 kJ/mol,22935.464546478113 kJ/mol
85,7052009,[1.1357596],-96907.0100572153 kJ/mol,-101614.56427881516 kJ/mol
86,4037663,[0.9151564],-3845.0604539492156 kJ/mol,-6089.056033711222 kJ/mol
87,2208405,[1.4851979],1159.1108197845751 kJ/mol,-1949.1558128812867 kJ/mol
88,1513289,[0.953905],6814.954799423053 kJ/mol,3105.331451634125 kJ/mol
89,2100865,[0.01817328],-23715.524585358067 kJ/mol,-28662.52335465247 kJ/mol
90,2008450,[1.4272203],9364.737543135743 kJ/mol,8024.441152043476 kJ/mol
91,2006075,[0.01603091],16904.853680714667 kJ/mol,8025.206694747268 kJ/mol
92,2203255,[0.01199802],5687.458857276995 kJ/mol,4830.474386912005 kJ/mol
93,2018826,[0.72557163],8664.661852791527 kJ/mol,8057.24594729946 kJ/mol
94,2239864,[0.01082462],9452.282491725167 kJ/mol,7358.181412460427 kJ/mol
95,7151750,[1.476022],3023.910582828299 kJ/mol,2030.0122622420859 kJ/mol
96,1100989,[0.9057372],-39471.85187748834 kJ/mol,-45367.178082434715 kJ/mol
97,2238479,[0.7168503],-43725.553675337316 kJ/mol,-46617.87631767813 kJ/mol
98,2007371,[1.1256589],5866.096216892607 kJ/mol,1702.2988649880867 kJ/mol
99,1519825,[0.59528106],-8067.73865920406 kJ/mol,-13096.305515421696 kJ/mol
100,2203241,[0.98965317],-30655.09153763638 kJ/mol,-33843.240353217305 kJ/mol
101,2220312,[1.1416417],-27200.231469762184 kJ/mol,-28643.795523601875 kJ/mol
102,1516412,[0.63057804],-21438.710341967744 kJ/mol,-24388.34750456444 kJ/mol
103,2002966,[0.01565391],-87695.08128616525 kJ/mol,-91634.58934788188 kJ/mol
104,2240041,[0.5573271],-37828.2941757437 kJ/mol,-41133.71147372282 kJ/mol
105,2241551,[0.6722082],-100129.08631137825 kJ/mol,-104651.86496627732 kJ/mol
106,7214418,[0.588067],-1344.5026577321196 kJ/mol,-4180.84244416322 kJ/mol
107,3500018,[0.01557484],2300.8940426991303 kJ/mol,863.8378010320139 kJ/mol
108,7039793,[1.0145581],-32746.752242328424 kJ/mol,-35372.471864596606 kJ/mol
109,2203006,[0.44391102],2499.3511960435153 kJ/mol,864.8208018785499 kJ/mol
110,2214563,[0.01553172],-24149.955990194296 kJ/mol,-34207.47601980196 kJ/mol
111,4035731,[0.03630729],61087.29623071027 kJ/mol,55749.15408941846 kJ/mol
112,2203540,[0.83027893],-41803.07088284061 kJ/mol,-44952.99752883477 kJ/mol
113,2219243,[0.8793388],484.0977167708993 kJ/mol,-649.7358713230478 kJ/mol
114,2105702,[0.03395002],3761.361995677088 kJ/mol,-1520.3990226960168 kJ/mol
115,2219974,[0.01919351],6965.448301082337 kJ/mol,-155.9741283038802 kJ/mol
116,2207637,[1.1009424],1742.2047106831596 kJ/mol,76.7151530720439 kJ/mol
117,7216950,[0.92573774],26130.98424574618 kJ/mol,23780.88585594498 kJ/mol
118,2216977,[0.6886381],-93438.60133084658 kJ/mol,-97733.71917057742 kJ/mol
119,2224771,[0.54609317],27436.973281998893 kJ/mol,25937.948433820406 kJ/mol
120,2006099,[1.1587363],-10079.053575175545 kJ/mol,-12391.177935620382 kJ/mol
121,2229458,[0.7221275],-22791.564140722163 kJ/mol,-27304.73006926921 kJ/mol
122,2005486,[1.0253041],6159.96256341601 kJ/mol,4507.232254754783 kJ/mol
123,2017090,[1.4346666],4911.2066365828205 kJ/mol,3126.4280974770745 kJ/mol
124,2241317,[1.321523],672.3446369979238 kJ/mol,-328.52457176761254 kJ/mol
125,2236004,[1.1786169],12932.909437686483 kJ/mol,10625.223336813739 kJ/mol
126,2208241,[0.65744376],6659.473960174292 kJ/mol,5293.226275300147 kJ/mol
127,2300006,[0.7615402],16107.633429222195 kJ/mol,9010.388872002033 kJ/mol
128,2223130,[0.86837953],13843.456556072832 kJ/mol,9884.606602744367 kJ/mol
129,7219235,[1.1394058],-99128.33678903646 kJ/mol,-108144.01101748826 kJ/mol
130,2234037,[0.7649844],14779.216429012598 kJ/mol,10817.434007286525 kJ/mol
131,2018597,[0.30626437],-66730.6827362736 kJ/mol,-70220.71961198084 kJ/mol
132,2238379,[1.6582816],-73579.99970733807 kJ/mol,-76829.41813727703 kJ/mol
133,4513593,[1.0475646],12144.484183439161 kJ/mol,9518.709802124537 kJ/mol
134,4025034,[1.253204],-20147.915043899724 kJ/mol,-22888.518900127914 kJ/mol
135,2226624,[1.3317924],-21641.200815356802 kJ/mol,-23763.77107207916 kJ/mol
136,2100662,[0.56430525],9568.483215897302 kJ/mol,-402.5487183563109 kJ/mol
137,7056752,[0.03386529],-60495.88554338589 kJ/mol,-63985.64599808132 kJ/mol
138,4037916,[0.7459279],1576.7464785524135 kJ/mol,-1917.3613837405555 kJ/mol
139,2220694,[1.149746],-1673.049984375807 kJ/mol,-4149.434074875802 kJ/mol
140,2221170,[1.236365],-624.3873290527554 kJ/mol,-2902.7828669297523 kJ/mol
141,2205937,[0.0132147],11347.732425300026 kJ/mol,8942.922105008962 kJ/mol
142,2234322,[1.3557782],-3486.5455312201157 kJ/mol,-5114.860866742687 kJ/mol
143,2212135,[0.73668396],44085.48232542979 kJ/mol,37056.41707034907 kJ/mol
144,1513592,[0.9384958],-16880.52041117023 kJ/mol,-19907.175365420786 kJ/mol
145,2311084,[0.8576699],-26255.996184706033 kJ/mol,-37180.23668941114 kJ/mol
146,7117669,[0.01685373],9193.906177787469 kJ/mol,6707.785274889564 kJ/mol
147,7100858,[0.02224763],-25475.49556983921 kJ/mol,-29255.512807462892 kJ/mol
148,4022058,[0.97434264],-16474.6803349457 kJ/mol,-18912.883855780245 kJ/mol
149,2235036,[1.2220187],1698.6218112639617 kJ/mol,-307.9888035577096 kJ/mol
150,4507232,[0.02634087],2166.995017246625 kJ/mol,225.12917354752426 kJ/mol
151,2205115,[1.1580985],7993.823220014978 kJ/mol,6620.873954453021 kJ/mol
152,2231503,[1.1702842],1928.0683300283108 kJ/mol,-106.93477697927483 kJ/mol
153,2102305,[0.70761293],7626.241071971111 kJ/mol,5020.87521045736 kJ/mol
154,1549860,[1.1334262],28793.63474091509 kJ/mol,26601.05984940461 kJ/mol
155,2104176,[0.01297425],-5044.370261406717 kJ/mol,-9421.90996440442 kJ/mol
156,1518526,[0.94266045],19.226778442975956 kJ/mol,-890.2732614107435 kJ/mol
157,7228868,[0.5545012],6211.338754983437 kJ/mol,4080.135855072833 kJ/mol
158,2012958,[0.45587906],-39847.48283871227 kJ/mol,-42514.03542160468 kJ/mol
159,2210848,[0.96148384],17147.91897316545 kJ/mol,14614.382168794773 kJ/mol
160,2216200,[1.1882647],15076.933668720598 kJ/mol,13908.73693127423 kJ/mol
161,7216997,[0.7945689],52570.42872044413 kJ/mol,44757.030851342715 kJ/mol
162,1100992,[0.604526],-56984.505868484135 kJ/mol,-61672.14828404998 kJ/mol
163,2229006,[1.0730596],-9062.771870110872 kJ/mol,-10839.099256192825 kJ/mol
164,2108038,[0.02431052],-5462.520812092331 kJ/mol,-17922.8323049285 kJ/mol
165,2217222,[0.80381316],-10324.683330463504 kJ/mol,-14087.49768125394 kJ/mol
