#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1,49.90249683418361,334.1287504931387,0.006671086812409914
2,78.08535880135265,234.122517928374,0.006671086812409914
3,92.06298648349258,187.11062092870256,0.006671086812409914
4,82.42340754655221,219.20396852328042,0.006671086812409914
5,64.41744526273138,278.49141322968495,0.006671086812409914
6,59.55115617274231,300.7028419310694,0.006671086812409914
7,72.63421786542,252.76520681569693,0.006671086812409914
8,88.06137264443038,199.82901238515106,0.006671086812409914
9,87.86891321903971,194.34891308020735,0.006671086812409914
10,72.96499146682726,244.13042673890513,0.006671086812409914
11,61.60800555772524,296.05620686369275,0.006671086812409914
12,68.57593431660769,275.80898078422496,0.006671086812409914
13,86.91124572202622,212.13453489029715,0.006671086812409914
14,95.4566889322834,180.00277643088532,0.006671086812409914
15,83.2536775676094,227.14102661148053,0.006671086812409914
16,60.538353043306934,313.04460710022215,0.006671086812409914
17,49.383511617024155,351.46975782432065,0.006671086812409914
18,57.68495905678281,317.52242628329805,0.006671086812409914
19,74.06414650195987,266.1613188521121,0.006671086812409914
20,82.54124831379299,234.04909541703984,0.006671086812409914
21,77.31985354841576,253.8283054583655,0.006671086812409914
22,67.39618577806625,284.9524870736592,0.006671086812409914
23,65.17491253800577,306.0258849732603,0.006671086812409914
24,72.78085209985383,277.0997870492108,0.006671086812409914
25,80.02862770762952,254.58724320334218,0.006671086812409914
26,78.2802315466561,259.68020317590583,0.006671086812409914
27,70.7037254287404,286.00338490323907,0.006671086812409914
28,69.10146376899895,293.16603811493354,0.006671086812409914
29,78.26423206447186,251.2881838766518,0.006671086812409914
30,89.19809632306041,218.7520538838401,0.006671086812409914
31,89.2377970558549,218.08571140316795,0.006671086812409914
32,77.45805855726742,257.1093966888422,0.006671086812409914
33,65.14369695110294,304.36055089085886,0.006671086812409914
34,62.17191375190639,313.1757929940428,0.006671086812409914
35,69.54042371764004,296.0674005361276,0.006671086812409914
36,78.2542403346767,263.61467912894545,0.006671086812409914
37,76.618526854885,268.59849582792805,0.006671086812409914
38,66.63037614928085,306.2687134703048,0.006671086812409914
39,61.64078379251288,325.89050696827167,0.006671086812409914
40,68.72496706118035,301.0858850222813,0.006671086812409914
41,80.11646785023798,259.56546610392934,0.006671086812409914
42,81.61498017427729,254.40189681102206,0.006671086812409914
43,71.32947713927905,293.12696512326465,0.006671086812409914
44,60.35113895063007,335.7908573217403,0.006671086812409914
45,61.18010459339105,327.66476203195396,0.006671086812409914
46,74.97916441461847,280.1432207122073,0.006671086812409914
47,91.87586077570116,223.82766482289753,0.006671086812409914
48,97.92843166650809,207.65424007514386,0.006671086812409914
49,89.2471839007352,237.03031415321533,0.006671086812409914
50,74.8696064727254,291.0887992902185,0.006671086812409914
51,67.97675727136487,314.04341400082876,0.006671086812409914
52,71.10783365235949,299.19623213765163,0.006671086812409914
53,78.18028747409838,274.10822787440986,0.006671086812409914
54,81.41770115115578,258.33730548403986,0.006671086812409914
55,76.39265735017412,269.63719819025806,0.006671086812409914
56,67.17321373905881,314.93139460231345,0.006671086812409914
57,63.18448374964485,322.3773723375925,0.006671086812409914
58,68.81902679205353,302.2091263066229,0.006671086812409914
59,77.9804661179561,267.0415487915775,0.006671086812409914
60,80.52969642148602,258.23388805184516,0.006671086812409914
61,75.56330143394499,277.9750513244124,0.006671086812409914
62,69.61466601941967,296.0715758696507,0.006671086812409914
63,68.8397647555878,293.7491680857772,0.006671086812409914
64,75.67086899603942,270.82663568913136,0.006671086812409914
65,85.32888419296782,235.33512799547017,0.006671086812409914
66,89.64379079158836,223.0247090428462,0.006671086812409914
67,82.1474128612868,248.08428497216303,0.006671086812409914
68,68.71790021160356,303.2020333683,0.006671086812409914
69,61.69973553770333,321.0397061831891,0.006671086812409914
70,66.57534264293454,307.05488364222373,0.006671086812409914
71,76.27610302685123,279.5730703815937,0.006671086812409914
72,80.75063947079629,262.04054936052137,0.006671086812409914
73,76.57466049746455,273.3295941782585,0.006671086812409914
74,68.59565899850772,302.68584334672556,0.006671086812409914
75,63.92152983176101,317.17060698587426,0.006671086812409914
76,64.62610618728331,316.89844045532664,0.006671086812409914
77,69.17675841599139,296.8093057388105,0.006671086812409914
78,70.40650745516393,289.5572370184248,0.006671086812409914
79,67.58116170560909,300.3273056184717,0.006671086812409914
80,66.56937338331353,303.9311740417009,0.006671086812409914
81,72.28498726223603,291.12249654219795,0.006671086812409914
82,81.67738746894207,258.18865697054065,0.006671086812409914
83,87.06939982223814,247.18184621787407,0.006671086812409914
84,85.03303550822608,257.1316669899211,0.006671086812409914
85,75.93161625771336,284.14902498876853,0.006671086812409914
86,66.96268703193942,316.0295652057166,0.006671086812409914
87,64.58126581459317,322.7932885220934,0.006671086812409914
88,68.60358463514629,315.3551855966644,0.006671086812409914
89,71.5644293292888,301.938445712636,0.006671086812409914
90,70.76323999561869,303.0945689063964,0.006671086812409914
91,70.15478761059597,302.94176351172104,0.006671086812409914
92,72.7378145695778,295.2849911892824,0.006671086812409914
93,75.35651797442301,290.69782957537996,0.006671086812409914
94,74.28455625627308,283.6715322883507,0.006671086812409914
95,70.22335511803854,302.3027234575283,0.006671086812409914
96,66.87545711810237,315.30688731544535,0.006671086812409914
97,66.90035851993602,313.38037989819026,0.006671086812409914
98,73.05890874844704,287.28987831778466,0.006671086812409914
99,81.46959182635568,257.4305027464818,0.006671086812409914
100,85.45815413956612,250.75004898752513,0.006671086812409914
101,81.81444015877207,265.3256086391415,0.006671086812409914
102,75.34591471109144,276.59798693401706,0.006671086812409914
103,73.8870320659749,278.7367831906638,0.006671086812409914
104,77.866867802695,264.6834952241932,0.006671086812409914
105,82.34132172507111,259.704259111782,0.006671086812409914
106,81.9471500303215,258.9488811240903,0.006671086812409914
107,76.34002627203839,278.7425556343716,0.006671086812409914
108,70.76842287765561,294.8819139248324,0.006671086812409914
109,72.0033692771257,286.74329749889176,0.006671086812409914
110,77.0939205470896,266.1192758538273,0.006671086812409914
111,77.75276059604484,265.3653875221712,0.006671086812409914
112,69.33474493180736,298.0183540548698,0.006671086812409914
113,59.396933765693774,332.44515927823966,0.006671086812409914
114,56.31838099274214,339.93433554464207,0.006671086812409914
115,62.3112452226342,314.5118125964632,0.006671086812409914
116,70.83767460077598,275.37612121120935,0.006671086812409914
117,74.63987988936327,254.2645527530527,0.006671086812409914
118,71.49104589938884,259.4638842159833,0.006671086812409914
119,65.81894087566977,288.5075147042763,0.006671086812409914
120,65.4728066848269,291.6746705122586,0.006671086812409914
121,70.64552889995753,277.73896960560796,0.006671086812409914
122,73.04969380113408,259.4791896982595,0.006671086812409914
123,69.0472892376196,264.2893516584506,0.006671086812409914
124,62.95122426748369,285.13449872711567,0.006671086812409914
125,63.29540630087459,281.1290623632193,0.006671086812409914
126,71.24904751660014,256.1069918788474,0.006671086812409914
127,79.09197084020636,223.551018982714,0.006671086812409914
128,80.33225947380089,216.0677660511037,0.006671086812409914
129,73.6339899274247,239.76137035570036,0.006671086812409914
130,64.05902497872333,282.0442956257288,0.006671086812409914
131,57.52433956859639,299.9392489054575,0.006671086812409914
132,57.561518038325175,303.20172795500696,0.006671086812409914
133,62.969055002173754,284.07021036957366,0.006671086812409914
134,69.15106438418667,261.41222191586905,0.006671086812409914
135,72.61814890065665,247.51192432507838,0.006671086812409914
136,72.24227918749732,255.25617286251133,0.006671086812409914
137,71.45152123323335,256.0761706873065,0.006671086812409914
138,70.8278915483086,257.3740818977216,0.006671086812409914
139,72.03418979914184,251.0602071708624,0.006671086812409914
140,73.09551793231351,240.62337808922192,0.006671086812409914
141,71.8987269475417,244.08808690768788,0.006671086812409914
142,69.8091024534725,255.7733662073175,0.006671086812409914
143,69.36870472818252,257.4109304612225,0.006671086812409914
144,73.91684892150073,240.25081290703463,0.006671086812409914
145,79.40479416020841,223.7017254115255,0.006671086812409914
146,80.22715022054201,230.28379937369448,0.006671086812409914
147,75.84361011142155,248.05861230363126,0.006671086812409914
148,69.36103181664541,270.4388511615365,0.006671086812409914
149,65.92047385267767,284.124582697681,0.006671086812409914
150,67.8089285167398,277.9755374515891,0.006671086812409914
151,72.3118598226786,258.7322752243948,0.006671086812409914
152,73.94699037530793,251.50147787297078,0.006671086812409914
153,70.63490667693394,265.2087409664675,0.006671086812409914
154,66.33441313178487,279.3268301009646,0.006671086812409914
155,65.1436846063528,287.8148024078298,0.006671086812409914
156,66.10860131184273,290.94529106180164,0.006671086812409914
157,67.13838874911434,288.88576442763485,0.006671086812409914
158,67.79374895229851,284.5024268968122,0.006671086812409914
159,70.22172255041619,274.03823419580937,0.006671086812409914
160,73.20734636142879,259.6787019491274,0.006671086812409914
161,74.03554801173553,255.43102855004813,0.006671086812409914
162,73.00711473597238,260.0854156822602,0.006671086812409914
163,72.29642010124789,263.45767368729275,0.006671086812409914
164,72.20418109802844,256.148004166166,0.006671086812409914
165,73.63794272754501,254.92719881160008,0.006671086812409914
166,76.58601383892416,246.50888316187172,0.006671086812409914
167,78.09470472853722,244.2729570653189,0.006671086812409914
168,75.27288821071261,257.014205877976,0.006671086812409914
169,70.54705105053881,274.03271745228153,0.006671086812409914
170,71.68793175495611,269.11612037314757,0.006671086812409914
171,78.51190863155624,242.59111064819427,0.006671086812409914
172,83.54160992380992,225.4477153195237,0.006671086812409914
173,81.43981248730628,233.91916790606808,0.006671086812409914
174,74.08841858376479,270.64553535972817,0.006671086812409914
175,67.04882741956655,292.33825240113913,0.006671086812409914
176,66.60746636391973,296.29962776529857,0.006671086812409914
177,73.50043368724323,283.4653677600249,0.006671086812409914
178,81.25560718026291,253.59002150169275,0.006671086812409914
179,82.63078552198525,251.75205743224583,0.006671086812409914
180,79.1192122659856,260.25292716491,0.006671086812409914
181,74.3982779344476,276.81889300435256,0.006671086812409914
182,72.1346365180357,287.66806999190527,0.006671086812409914
183,72.32787860983134,288.8076238007459,0.006671086812409914
184,75.02750312468746,278.27120456826003,0.006671086812409914
185,79.04514083164449,265.17174721101327,0.006671086812409914
186,81.03056801200742,257.41420473870807,0.006671086812409914
187,80.62810302789163,262.99424203592974,0.006671086812409914
188,80.16265316636945,255.64668927731455,0.006671086812409914
189,80.51833907386374,257.0957927281264,0.006671086812409914
190,80.17331396988824,251.07585284519456,0.006671086812409914
191,77.34389806069268,259.0635121074339,0.006671086812409914
192,72.73580347760715,275.27969711371753,0.006671086812409914
193,67.33315590433348,295.6233671262989,0.006671086812409914
194,64.62312794924178,300.62144527247773,0.006671086812409914
195,68.29812600384162,278.4059305966876,0.006671086812409914
196,76.43910750614725,241.85050832240577,0.006671086812409914
197,82.56021226957122,213.8008799064775,0.006671086812409914
198,80.29489604412697,213.4334586037828,0.006671086812409914
199,70.13607262977607,246.178726358594,0.006671086812409914
200,60.59005567426745,287.10277413415895,0.006671086812409914
