#Mol_idx,mol_in_unitcell,unitcell_in_supercell_a,unitcell_in_supercell_b,unitcell_in_supercell_c
274,2,2,0,2
275,3,2,0,2
276,4,2,0,2
277,5,2,0,2
278,6,2,0,2
279,7,2,0,2
280,0,2,0,3
281,1,2,0,3
282,2,2,0,3
283,3,2,0,3
284,4,2,0,3
285,5,2,0,3
286,6,2,0,3
287,7,2,0,3
288,0,2,1,0
289,1,2,1,0
290,2,2,1,0
291,3,2,1,0
292,4,2,1,0
293,5,2,1,0
294,6,2,1,0
295,7,2,1,0
296,0,2,1,1
297,1,2,1,1
298,2,2,1,1
299,3,2,1,1
300,4,2,1,1
301,5,2,1,1
302,6,2,1,1
303,7,2,1,1
304,0,2,1,2
305,1,2,1,2
306,2,2,1,2
307,3,2,1,2
308,4,2,1,2
309,5,2,1,2
310,6,2,1,2
311,7,2,1,2
312,0,2,1,3
313,1,2,1,3
314,2,2,1,3
315,3,2,1,3
316,4,2,1,3
317,5,2,1,3
318,6,2,1,3
319,7,2,1,3
320,0,2,2,0
321,1,2,2,0
322,2,2,2,0
323,3,2,2,0
324,4,2,2,0
325,5,2,2,0
326,6,2,2,0
327,7,2,2,0
328,0,2,2,1
329,1,2,2,1
330,2,2,2,1
331,3,2,2,1
332,4,2,2,1
333,5,2,2,1
334,6,2,2,1
335,7,2,2,1
336,0,2,2,2
337,1,2,2,2
338,2,2,2,2
339,3,2,2,2
340,4,2,2,2
341,5,2,2,2
342,6,2,2,2
343,7,2,2,2
344,0,2,2,3
345,1,2,2,3
346,2,2,2,3
347,3,2,2,3
348,4,2,2,3
349,5,2,2,3
350,6,2,2,3
351,7,2,2,3
352,0,2,3,0
353,1,2,3,0
354,2,2,3,0
355,3,2,3,0
356,4,2,3,0
357,5,2,3,0
358,6,2,3,0
359,7,2,3,0
360,0,2,3,1
361,1,2,3,1
362,2,2,3,1
363,3,2,3,1
364,4,2,3,1
365,5,2,3,1
366,6,2,3,1
367,7,2,3,1
368,0,2,3,2
369,1,2,3,2
370,2,2,3,2
371,3,2,3,2
372,4,2,3,2
373,5,2,3,2
374,6,2,3,2
375,7,2,3,2
376,0,2,3,3
377,1,2,3,3
378,2,2,3,3
379,3,2,3,3
380,4,2,3,3
381,5,2,3,3
382,6,2,3,3
383,7,2,3,3
384,0,3,0,0
385,1,3,0,0
386,2,3,0,0
387,3,3,0,0
388,4,3,0,0
389,5,3,0,0
390,6,3,0,0
391,7,3,0,0
392,0,3,0,1
393,1,3,0,1
394,2,3,0,1
395,3,3,0,1
396,4,3,0,1
397,5,3,0,1
398,6,3,0,1
399,7,3,0,1
400,0,3,0,2
401,1,3,0,2
402,2,3,0,2
403,3,3,0,2
404,4,3,0,2
405,5,3,0,2
406,6,3,0,2
407,7,3,0,2
408,0,3,0,3
409,1,3,0,3
410,2,3,0,3
411,3,3,0,3
412,4,3,0,3
413,5,3,0,3
414,6,3,0,3
415,7,3,0,3
416,0,3,1,0
417,1,3,1,0
418,2,3,1,0
419,3,3,1,0
420,4,3,1,0
421,5,3,1,0
422,6,3,1,0
423,7,3,1,0
424,0,3,1,1
425,1,3,1,1
426,2,3,1,1
427,3,3,1,1
428,4,3,1,1
429,5,3,1,1
430,6,3,1,1
431,7,3,1,1
432,0,3,1,2
433,1,3,1,2
434,2,3,1,2
435,3,3,1,2
436,4,3,1,2
437,5,3,1,2
438,6,3,1,2
439,7,3,1,2
440,0,3,1,3
441,1,3,1,3
442,2,3,1,3
443,3,3,1,3
444,4,3,1,3
445,5,3,1,3
446,6,3,1,3
447,7,3,1,3
448,0,3,2,0
449,1,3,2,0
450,2,3,2,0
451,3,3,2,0
452,4,3,2,0
453,5,3,2,0
454,6,3,2,0
455,7,3,2,0
456,0,3,2,1
457,1,3,2,1
458,2,3,2,1
459,3,3,2,1
460,4,3,2,1
461,5,3,2,1
462,6,3,2,1
463,7,3,2,1
464,0,3,2,2
465,1,3,2,2
466,2,3,2,2
467,3,3,2,2
468,4,3,2,2
469,5,3,2,2
470,6,3,2,2
471,7,3,2,2
472,0,3,2,3
473,1,3,2,3
474,2,3,2,3
475,3,3,2,3
476,4,3,2,3
477,5,3,2,3
478,6,3,2,3
479,7,3,2,3
480,0,3,3,0
481,1,3,3,0
482,2,3,3,0
483,3,3,3,0
484,4,3,3,0
485,5,3,3,0
486,6,3,3,0
487,7,3,3,0
488,0,3,3,1
489,1,3,3,1
490,2,3,3,1
491,3,3,3,1
492,4,3,3,1
493,5,3,3,1
494,6,3,3,1
495,7,3,3,1
496,0,3,3,2
497,1,3,3,2
498,2,3,3,2
499,3,3,3,2
500,4,3,3,2
501,5,3,3,2
502,6,3,3,2
503,7,3,3,2
504,0,3,3,3
505,1,3,3,3
506,2,3,3,3
507,3,3,3,3
508,4,3,3,3
509,5,3,3,3
510,6,3,3,3
511,7,3,3,3
